Typ;Flurkarten;LU_x;LU_y;LO_x;LO_y;RO_x;RO_y;RU_x;RU_y
Badische Flurkarten;30.157;544868.3188;5486073.481;544875.5148;5487072.941;545875.1038;5487065.73;545867.8947;5486066.17
Badische Flurkarten;30.158;545867.8947;5486066.17;545875.1038;5487065.73;546874.6902;5487058.513;546867.4842;5486058.883
Badische Flurkarten;30.159;546867.4842;5486058.883;546874.6902;5487058.513;547874.2961;5487051.307;547867.101;5486051.748
Badische Flurkarten;30.160;547867.101;5486051.748;547874.2961;5487051.307;548873.6792;5487044.315;548866.7275;5486044.596
Badische Flurkarten;30.161;548866.7275;5486044.596;548873.6792;5487044.315;549873.6254;5487036.691;549866.3216;5486037.377
Badische Flurkarten;30.162;549866.3216;5486037.377;549873.6254;5487036.691;550873.1545;5487029.524;550865.8904;5486030.086
Badische Flurkarten;30.163;550865.8904;5486030.086;550873.1545;5487029.524;551872.5836;5487022.171;551865.4898;5486022.779
Badische Flurkarten;30.164;551865.4898;5486022.779;551872.5836;5487022.171;552872.2687;5487014.945;552865.1306;5486015.537
Badische Flurkarten;30.165;552865.1306;5486015.537;552872.2687;5487014.945;553871.8101;5487007.889;553864.7002;5486008.382
Badische Flurkarten;30.166;553864.7002;5486008.382;553871.8101;5487007.889;554871.4654;5487000.71;554864.2854;5486001.282
Badische Flurkarten;30.167;554864.2854;5486001.282;554871.4654;5487000.71;555871.0606;5486993.487;555863.9811;5485994.172
Badische Flurkarten;30.168;555863.9811;5485994.172;555871.0606;5486993.487;556870.5747;5486986.339;556863.4757;5485986.834
Badische Flurkarten;30.169;556863.4757;5485986.834;556870.5747;5486986.339;557870.032;5486979.112;557862.919;5485979.457
Badische Flurkarten;30.170;557862.919;5485979.457;557870.032;5486979.112;558869.545;5486971.888;558862.4605;5485972.266
Badische Flurkarten;31.70;457897.2995;5485699.681;457904.483;5486699.275;458904.0866;5486692.09;458896.8971;5485692.499
Badische Flurkarten;31.71;458896.8971;5485692.499;458904.0866;5486692.09;459903.7243;5486684.917;459896.5357;5485685.333
Badische Flurkarten;31.72;459896.5357;5485685.333;459903.7243;5486684.917;460903.3437;5486677.739;460896.1722;5485678.163
Badische Flurkarten;31.73;460896.1722;5485678.163;460903.3437;5486677.739;461902.9483;5486670.555;461895.7791;5485670.965
Badische Flurkarten;31.74;461895.7791;5485670.965;461902.9483;5486670.555;462902.5415;5486663.365;462895.3511;5485663.779
Badische Flurkarten;31.75;462895.3511;5485663.779;462902.5415;5486663.365;463902.1124;5486656.182;463894.9279;5485656.594
Badische Flurkarten;31.76;463894.9279;5485656.594;463902.1124;5486656.182;464901.689;5486648.989;464894.5012;5485649.425
Badische Flurkarten;31.77;464894.5012;5485649.425;464901.689;5486648.989;465901.2543;5486641.813;465894.0997;5485642.217
Badische Flurkarten;31.78;465894.0997;5485642.217;465901.2543;5486641.813;466900.8732;5486634.623;466893.7301;5485635.036
Badische Flurkarten;31.79;466893.7301;5485635.036;466900.8732;5486634.623;467900.4998;5486627.429;467893.3581;5485627.848
Badische Flurkarten;31.82;469892.6185;5485613.41;469899.7511;5486613.018;470899.3928;5486605.845;470892.2133;5485606.228
Badische Flurkarten;31.83;470892.2133;5485606.228;470899.3928;5486605.845;471898.9856;5486598.678;471891.807;5485599.081
Badische Flurkarten;31.84;471891.807;5485599.081;471898.9856;5486598.678;472898.5679;5486591.512;472891.3981;5485591.907
Badische Flurkarten;31.85;472891.3981;5485591.907;472898.5679;5486591.512;473898.1669;5486584.331;473890.9773;5485584.746
Badische Flurkarten;31.86;473890.9773;5485584.746;473898.1669;5486584.331;474897.8781;5486576.817;474890.5894;5485577.572
Badische Flurkarten;31.87;474890.5894;5485577.572;474897.8781;5486576.817;475897.3267;5486569.939;475889.9999;5485570.196
Badische Flurkarten;31.88;475889.9999;5485570.196;475897.3267;5486569.939;476896.9141;5486562.736;476889.68;5485563.114
Badische Flurkarten;31.89;476889.68;5485563.114;476896.9141;5486562.736;477896.5043;5486555.565;477889.2987;5485556.016
Badische Flurkarten;31.90;477889.2987;5485556.016;477896.5043;5486555.565;478896.0802;5486548.393;478888.8791;5485548.832
Badische Flurkarten;31.91;478888.8791;5485548.832;478896.0802;5486548.393;479895.6798;5486541.201;479888.4847;5485541.628
Badische Flurkarten;31.92;479888.4847;5485541.628;479895.6798;5486541.201;480895.2827;5486533.988;480888.0951;5485534.425
Badische Flurkarten;37.111;498837.7346;5479407.558;498844.9198;5480407.161;499844.3972;5480400.026;499837.1851;5479400.403
Badische Flurkarten;37.112;499837.1851;5479400.403;499844.3972;5480400.026;500843.8705;5480392.857;500836.6348;5479393.237
Badische Flurkarten;37.113;500836.6348;5479393.237;500843.8705;5480392.857;501843.3455;5480385.692;501836.0865;5479386.084
Badische Flurkarten;37.114;501836.0865;5479386.084;501843.3455;5480385.692;502842.8227;5480378.5;502835.6176;5479378.932
Badische Flurkarten;37.115;502835.6176;5479378.932;502842.8227;5480378.5;503842.3567;5480371.294;503835.2279;5479371.777
Badische Flurkarten;37.116;503835.2279;5479371.777;503842.3567;5480371.294;504841.9818;5480364.113;504834.8366;5479364.601
Badische Flurkarten;37.117;504834.8366;5479364.601;504841.9818;5480364.113;505841.6121;5480356.908;505834.4569;5479357.405
Badische Flurkarten;37.118;505834.4569;5479357.405;505841.6121;5480356.908;506841.2216;5480349.731;506834.0984;5479350.206
Badische Flurkarten;37.119;506834.0984;5479350.206;506841.2216;5480349.731;507840.8032;5480342.531;507833.6183;5479343.012
Badische Flurkarten;37.120;507833.6183;5479343.012;507840.8032;5480342.531;508840.1726;5480335.277;508832.9901;5479335.741
Badische Flurkarten;37.121;508832.9901;5479335.741;508840.1726;5480335.277;509839.5566;5480328.015;509832.3521;5479328.487
Badische Flurkarten;37.122;509832.3521;5479328.487;509839.5566;5480328.015;510839.244;5480320.737;510831.8596;5479321.262
Badische Flurkarten;37.123;510831.8596;5479321.262;510839.244;5480320.737;511838.7093;5480313.631;511831.5297;5479314.107
Badische Flurkarten;37.124;511831.5297;5479314.107;511838.7093;5480313.631;512838.6315;5480306.691;512831.1952;5479306.959
Badische Flurkarten;37.125;512831.1952;5479306.959;512838.6315;5480306.691;513838.2336;5480299.627;513830.8625;5479299.808
Badische Flurkarten;37.126;513830.8625;5479299.808;513838.2336;5480299.627;514837.7354;5480292.156;514830.5159;5479292.683
Badische Flurkarten;37.127;514830.5159;5479292.683;514837.7354;5480292.156;515837.348;5480284.969;515830.1352;5479285.506
Badische Flurkarten;37.128;515830.1352;5479285.506;515837.348;5480284.969;516836.915;5480277.787;516829.6971;5479278.309
Badische Flurkarten;37.129;516829.6971;5479278.309;516836.915;5480277.787;517836.5157;5480270.593;517829.2075;5479270.972
Badische Flurkarten;37.130;517829.2075;5479270.972;517836.5157;5480270.593;518836.0948;5480263.373;518828.8799;5479263.85
Badische Flurkarten;37.131;518828.8799;5479263.85;518836.0948;5480263.373;519835.6777;5480256.142;519828.4495;5479256.61
Badische Flurkarten;37.132;519828.4495;5479256.61;519835.6777;5480256.142;520835.2603;5480248.91;520828.0342;5479249.377
Badische Flurkarten;37.133;520828.0342;5479249.377;520835.2603;5480248.91;521834.8342;5480241.689;521827.6078;5479242.145
Badische Flurkarten;37.134;521827.6078;5479242.145;521834.8342;5480241.689;522834.4667;5480234.574;522827.2413;5479235.062
Badische Flurkarten;37.135;522827.2413;5479235.062;522834.4667;5480234.574;523834.0318;5480227.369;523826.8198;5479227.85
Badische Flurkarten;37.136;523826.8198;5479227.85;523834.0318;5480227.369;524833.5904;5480220.164;524826.3988;5479220.635
Badische Flurkarten;37.137;524826.3988;5479220.635;524833.5904;5480220.164;525833.1827;5480212.959;525825.9738;5479213.43
Badische Flurkarten;37.138;525825.9738;5479213.43;525833.1827;5480212.959;526832.6854;5480205.767;526825.4979;5479206.322
Badische Flurkarten;37.139;526825.4979;5479206.322;526832.6854;5480205.767;527832.2767;5480198.544;527825.0661;5479199.089
Badische Flurkarten;37.140;527825.0661;5479199.089;527832.2767;5480198.544;528831.8293;5480191.349;528824.6219;5479191.926
Badische Flurkarten;37.141;528824.6219;5479191.926;528831.8293;5480191.349;529831.387;5480184.171;529824.1842;5479184.693
Badische Flurkarten;37.142;529824.1842;5479184.693;529831.387;5480184.171;530830.9852;5480176.984;530823.754;5479177.478
Badische Flurkarten;37.143;530823.754;5479177.478;530830.9852;5480176.984;531830.5397;5480169.767;531823.3144;5479170.258
Badische Flurkarten;37.144;531823.3144;5479170.258;531830.5397;5480169.767;532830.0763;5480162.567;532822.8547;5479163.072
Badische Flurkarten;37.145;532822.8547;5479163.072;532830.0763;5480162.567;533829.6132;5480155.389;533822.3809;5479155.897
Badische Flurkarten;9.142;530025.8367;5507170.989;530033.2123;5508170.414;531032.6165;5508163.333;531025.3741;5507163.778
Badische Flurkarten;9.143;531025.3741;5507163.778;531032.6165;5508163.333;532032.1635;5508156.075;532024.9428;5507156.601
Badische Flurkarten;9.144;532024.9428;5507156.601;532032.1635;5508156.075;533031.8068;5508149.118;533024.5055;5507149.436
Badische Flurkarten;9.145;533024.5055;5507149.436;533031.8068;5508149.118;534031.4088;5508141.692;534024.2638;5507142.235
Badische Flurkarten;9.146;534024.2638;5507142.235;534031.4088;5508141.692;535030.9202;5508134.354;535023.7406;5507134.999
Badische Flurkarten;9.147;535023.7406;5507134.999;535030.9202;5508134.354;536030.4353;5508127.183;536023.1983;5507127.726
Badische Flurkarten;9.148;536023.1983;5507127.726;536030.4353;5508127.183;537029.9628;5508119.992;537022.708;5507120.425
Badische Flurkarten;9.149;537022.708;5507120.425;537029.9628;5508119.992;538029.5417;5508112.801;538022.2248;5507113.28
Badische Flurkarten;9.150;538022.2248;5507113.28;538029.5417;5508112.801;539029.0521;5508105.568;539021.9555;5507106.036
